"TimeStamp","Total Customers","Total_cust_daypart","Thruput","Thruput_dp","Total Abandon","Total_abandon_dp","Queue_time","Wait_time","Order_time","Total_time"
"2023/03/14_15:10:38","123","8","17","36","0","0","00:02","01:08","01:39","02:49"
"2023/03/14_15:10:44","123","8","17","36","0","0","00:02","01:08","01:39","02:49"
"2023/03/14_15:10:49","123","8","17","36","0","0","00:02","01:08","01:39","02:49"
"2023/03/14_15:10:54","123","8","17","36","0","0","00:02","01:08","01:39","02:49"
"2023/03/14_15:11:00","123","8","17","36","0","0","00:02","01:08","01:39","02:49"
"2023/03/14_15:11:05","123","8","17","36","0","0","00:02","01:08","01:39","02:49"
