"TimeStamp","Total Customers","Total_cust_daypart","Thruput","Thruput_dp","Total Abandon","Total_abandon_dp","Queue_time","Order_time","Wait_time","Total_time","tp_9am","tp_12pm","tp_2pm","tp_5pm","tp_8pm","tp_am","tp_pm"
"2023/03/14_16:56:35","135","20","16","13","0","0","00:03","01:35","04:32","06:10","31","18","16","15","13","18","15"
"2023/03/14_16:56:40","135","20","16","13","0","0","00:03","01:35","04:32","06:10","31","18","16","15","13","18","15"
"2023/03/14_16:56:46","135","20","16","13","0","0","00:03","01:35","04:32","06:10","31","18","16","15","13","18","15"
"2023/03/14_16:56:51","135","20","16","13","0","0","00:03","01:35","04:32","06:10","31","18","16","15","13","18","15"
"2023/03/14_16:56:57","135","20","16","13","0","0","00:03","01:35","04:32","06:10","31","18","16","15","13","18","15"
"2023/03/14_16:57:02","135","20","16","13","0","0","00:03","01:35","04:32","06:10","31","18","16","15","13","18","15"
"2023/03/14_16:57:08","135","20","16","13","0","0","00:03","01:35","04:32","06:10","31","18","16","15","13","18","15"
