"TimeStamp","Total Customers","Total_cust_daypart","Thruput","Thruput_dp","Total Abandon","Total_abandon_dp","Queue_time","Order_time","Wait_time","Total_time","tp_9am","tp_12pm","tp_2pm","tp_5pm","tp_8pm","tp_am","tp_pm"
"2023/03/14_15:29:44","125","10","16","11","0","0","00:02","01:06","05:19","06:27",,,,,,,
"2023/03/14_15:29:49","125","10","16","11","0","0","00:02","01:06","05:19","06:27",,,,,,,
"2023/03/14_15:29:54","125","10","16","11","0","0","00:02","01:06","05:19","06:27",,,,,,,
"2023/03/14_15:30:00","125","10","16","11","0","0","00:02","01:06","05:19","06:27",,,,,,,
"2023/03/14_15:30:05","125","10","16","11","0","0","00:02","01:06","05:19","06:27",,,,,,,
"2023/03/14_15:30:10","125","10","16","11","0","0","00:02","01:06","05:19","06:27",,,,,,,
"2023/03/14_15:30:15","125","10","16","11","0","0","00:02","01:06","05:19","06:27",,,,,,,
"2023/03/14_15:30:21","125","10","16","11","0","0","00:02","01:06","05:19","06:27",,,,,,,
"2023/03/14_15:30:26","125","10","16","11","0","0","00:02","01:06","05:19","06:27",,,,,,,
"2023/03/14_15:30:31","125","10","16","11","0","0","00:02","01:06","05:19","06:27",,,,,,,
"2023/03/14_15:30:36","125","10","16","11","0","0","00:02","01:06","05:19","06:27",,,,,,,
"2023/03/14_15:30:42","125","10","16","11","0","0","00:02","01:06","05:19","06:27",,,,,,,
"2023/03/14_15:30:47","125","10","16","11","0","0","00:02","01:06","05:19","06:27",,,,,,,
"2023/03/14_15:30:52","125","10","16","11","0","0","00:02","01:06","05:19","06:27",,,,,,,
"2023/03/14_15:30:57","125","10","16","11","0","0","00:02","01:06","05:19","06:27",,,,,,,
"2023/03/14_15:31:03","125","10","16","11","0","0","00:02","01:06","05:19","06:27",,,,,,,
"2023/03/14_15:31:08","125","10","16","11","0","0","00:02","01:06","05:19","06:27",,,,,,,
