"TimeStamp","Total Customers","Total_cust_daypart","Thruput","Thruput_dp","Total Abandon","Total_abandon_dp","Queue_time","Order_time","Wait_time","Total_time","tp_9am","tp_12pm","tp_2pm","tp_5pm","tp_8pm","tp_am","tp_pm"
"2023/03/14_15:35:00","126","11","16","11","0","0","00:02","01:08","05:19","06:29","31","18","16",,"15","11","18"
"2023/03/14_15:35:06","126","11","16","11","0","0","00:02","01:08","05:19","06:29","31","18","16",,"15","11","18"
"2023/03/14_15:35:11","126","11","16","11","0","0","00:02","01:08","05:19","06:29","31","18","16",,"15","11","18"
"2023/03/14_15:35:16","126","11","16","11","0","0","00:02","01:08","05:19","06:29","31","18","16",,"15","11","18"
"2023/03/14_15:35:22","126","11","16","11","0","0","00:02","01:08","05:19","06:29","31","18","16",,"15","11","18"
"2023/03/14_15:35:27","126","11","16","11","0","0","00:02","01:08","05:19","06:29","31","18","16",,"15","11","18"
"2023/03/14_15:35:32","126","11","16","11","0","0","00:02","01:08","05:19","06:29","31","18","16",,"15","11","18"
"2023/03/14_15:35:38","126","11","16","11","0","0","00:02","01:08","05:19","06:29","31","18","16",,"15","11","18"
"2023/03/14_15:35:43","126","11","16","11","0","0","00:02","01:08","05:19","06:29","31","18","16",,"15","11","18"
"2023/03/14_15:35:48","126","11","16","11","0","0","00:02","01:08","05:19","06:29","31","18","16",,"15","11","18"
"2023/03/14_15:35:54","126","11","16","11","0","0","00:02","01:08","05:19","06:29","31","18","16",,"15","11","18"
"2023/03/14_15:35:59","126","11","16","11","0","0","00:02","01:08","05:19","06:29","31","18","16",,"15","11","18"
"2023/03/14_15:36:04","126","11","16","11","0","0","00:02","01:08","05:19","06:29","31","18","16",,"15","11","18"
"2023/03/14_15:36:10","126","11","16","11","0","0","00:02","01:08","05:19","06:29","31","18","16",,"15","11","18"
