"TimeStamp","Total Customers","Total_cust_daypart","Thruput","Thruput_dp","Total Abandon","Total_abandon_dp","Queue_time","Order_time","Wait_time","Total_time","tp_9am","tp_12pm","tp_2pm","tp_5pm","tp_8pm","tp_am","tp_pm"
"2023/03/14_15:37:57","126","11","16","11","0","0","00:02","01:08","05:19","06:29","31","18","16","15","11","18","15"
"2023/03/14_15:38:03","126","11","16","11","0","0","00:02","01:08","05:19","06:29","31","18","16","15","11","18","15"
"2023/03/14_15:38:08","126","11","16","11","0","0","00:02","01:08","05:19","06:29","31","18","16","15","11","18","15"
